Projectile,Z_p,A_p,LEIR_Kinj,PS_Kinj,SPS_Kinj,LEIR_beta,PS_beta,SPS_beta,LEIR_gamma,PS_gamma,SPS_gamma,LEIR_q,PS_q,SPS_q,I_p,n_0
He1,2.0,4.0,4.2,67.0237340016116,5631.343760061063,0.09461805964714418,0.3601123887683397,0.9898646627390477,1.0045065703462703,1.0719159933685654,7.0415639501807785,1,1,2.0,0.05441,1.0
He2,2.0,4.0,4.2,245.39447145673884,12093.354841956141,0.09461161904744066,0.6110446495917994,0.9974363037476314,1.0045059526947586,1.2632704476046093,13.974305913996298,2,2,2.0,0.0,0.0
O4,8.0,16.0,4.2,67.08432259769643,5632.118828652488,0.09466358684343486,0.36041605682741007,0.9898839817001257,1.0045109376218058,1.0720507606284044,7.048250305430926,4,4,8.0,0.1139,2.0
O5,8.0,16.0,4.2,102.90515800136232,7242.8907835019145,0.09466197424469906,0.43489891204423625,0.9934898443312175,1.0045107828936028,1.1105197205657262,8.778034826015787,5,5,8.0,0.1381189,1.0
O6,8.0,16.0,4.2,145.06633265839696,8857.907991131498,0.0946603617283735,0.5014181145681619,0.9954652445333152,1.0045106281760143,1.155795306542865,10.512378261674243,6,6,8.0,0.7393200000000001,1.0
Mg7,12.0,24.0,4.2,90.25013456676723,6705.608870303817,0.09467688015719658,0.41105379374107875,0.9925420419375133,1.004512213213083,1.0969590118273067,8.203256375664843,7,7,12.0,0.26594,2.0
Mg8,12.0,24.0,4.2,116.32146648205693,7781.132034004976,0.09467580462925294,0.4580700066732387,0.9942747636381,1.004512110001422,1.1249655362604196,9.358598006223527,8,8,12.0,0.32799,2.0
Ar9,18.0,40.0,4.2,54.72114851035481,4990.126435883012,0.09469223785836746,0.3286316239234939,0.987570092546322,1.0045136871265732,1.0588081294244012,6.362163501107512,9,9,18.0,0.47996,2.0
Ar10,18.0,40.0,4.2,67.12160189984228,5632.440468863049,0.09469159222311858,0.36060287133434643,0.9898958429121874,1.0045136251585463,1.0721337502421568,7.052365023683817,10,10,18.0,0.5404,2.0
Ar11,18.0,40.0,4.2,80.65019963631784,6276.042009147582,0.09469094660107921,0.3913511768029752,0.9916272745677391,1.004513563192221,1.0866713744104188,7.743950043204392,11,11,18.0,0.619,2.0
Ca12,20.0,40.0,4.2,95.26418915748978,6920.818288355143,0.09469134773381062,0.4208495621667018,0.9929505991299895,1.0045136016925924,1.1023772870058788,8.43675872484993,12,12,20.0,0.7286,2.0
Ca13,20.0,40.0,4.2,110.91436281498338,7566.146607871163,0.09469070211676978,0.4490635039606791,0.9939838564105667,1.0045135397269114,1.119194376869165,9.130195658258291,13,13,20.0,0.8172,2.0
Ca14,20.0,40.0,4.2,127.55628478245052,8212.056326953223,0.0946900565129359,0.47599480438230024,0.9948060248282027,1.0045134777629319,1.137076774973282,9.824257334018673,14,14,20.0,0.894,2.0
Ca15,20.0,40.0,4.2,145.14389146837655,8858.428809580946,0.09468941092230396,0.5016500324332693,0.9954708064258654,1.0045134158006535,1.1559749364575485,10.51881627190795,15,15,20.0,0.9737000000000001,2.0
Ca16,20.0,40.0,4.2,163.63154949685097,9505.174738930406,0.09468876534487833,0.526046184312565,0.996015881788664,1.0045133538400763,1.1758397814950632,11.213776496617719,16,16,20.0,1.0868,2.0
Ca17,20.0,40.0,4.2,182.97439998592017,10152.225602501729,0.09468811978065754,0.5492089818201971,0.9964683123083367,1.0045132918812005,1.1966230652199978,11.909064388106248,17,17,20.0,1.157726,1.0
Ca18,20.0,40.0,4.2,203.1286427633059,10799.52797727114,0.09468747422964009,0.5711712433326529,0.9968479338931995,1.0045132299240258,1.2182776830824018,12.604622540714038,18,18,20.0,5.128857600000001,1.0
Ca19,20.0,40.0,4.2,224.05176392689958,11447.039597961593,0.09468682869182334,0.5919713688719477,0.9971695512373834,1.004513167968552,1.2407579152982045,13.300405538327736,19,19,20.0,5.46986358,0.0
Ca20,20.0,40.0,4.2,245.70271138257695,12094.726592245697,0.09468618316721103,0.6116519662125524,0.9974443931747056,1.0045131060147792,1.2640196153781604,13.996376983470087,20,20,20.0,0.0,0.0
Kr19,36.0,86.0,4.2,52.81630582875346,4885.69487239843,0.09469619256093526,0.3233382069828396,0.9871189490557056,1.0045140667081252,1.0567657923304137,6.250466310096767,19,19,36.0,0.8316,3.0
Kr20,36.0,86.0,4.2,58.35302995653818,5184.129300412792,0.09469589222620338,0.33844812864889534,0.9883528538065054,1.0045140378807276,1.0627161399235832,6.571182185931475,20,20,36.0,0.8827999999999999,3.0
Kr21,36.0,86.0,4.2,64.1404035950477,5482.906467127604,0.09469559189432813,0.35330053621069496,0.989418438715875,1.0045140090536981,1.068935800603787,6.892266389720933,21,21,36.0,0.9450000000000001,3.0
